,GPM,DPM,visionScore,wardsPlaced,wardsKilled,kills,deaths,totalMinionsKilled,neutralMinionsKilled,longestTimeSpentLiving,totalDamageTaken
count,1376.0,1376.0,1376.0,1376.0,1376.0,1376.0,1376.0,1376.0,1376.0,1376.0,1376.0
mean,414.7101418359229,809.2032550731711,17.047238372093023,8.012354651162791,2.2521802325581395,6.194040697674419,5.4520348837209305,192.38299418604652,3.690406976744186,591.0443313953489,23694.696220930233
std,66.53370891615086,291.6003006874492,8.006357905647189,3.658195279933956,2.1244025400615283,4.133340373439639,3.2987969490076594,51.925017001364246,6.4682785891593095,299.83113101245374,11462.95317643345
min,239.8136645962733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0
25%,368.6217726805478,603.7575304114127,12.0,5.0,1.0,3.0,3.0,158.0,0.0,390.75,15804.5
50%,410.40281151055666,769.4042263514448,16.0,8.0,2.0,6.0,5.0,193.0,0.0,543.5,22297.5
75%,459.05369617134323,990.8848080133556,21.0,10.0,3.0,8.0,7.0,227.0,4.0,767.0,29631.0
max,681.9988577955454,2027.5522755227555,58.0,23.0,14.0,26.0,17.0,382.0,46.0,1899.0,89539.0
